fragment_smiles,frequency,heavy_atoms,dummy_atoms,logp,mw,tpsa,hbd,hba,rotbonds,fsp3,n_atoms,o_atoms,s_atoms,halogen_count,aromatic_ring_count,aliphatic_ring_count,heterocycles_total,n_heterocycles_count,o_heterocycles_count,s_heterocycles_count,label_lipophilic,label_hydrophilic,label_amphiphilic,label_high_flexibility,label_high_mw,label_high_sp3,label_has_aromatic_ring,label_has_aliphatic_ring,label_high_hbd,label_high_hba,label_high_tpsa,label_low_tpsa,label_acidic,label_basic,label_zwitterionic,label_neutral,label_nucleophilic,label_electrophilic,label_strong_ewg,label_aromatic_ring,label_multi_aromatic,label_has_heterocycle,label_multi_heterocycle,label_n_heterocycle,label_o_heterocycle,label_s_heterocycle,label_has_halogen,label_high_halogen,label_nitrogen_rich,label_oxygen_rich,label_sulfur_rich,label_bioisostere,label_has_amide,label_has_ester
[16*]c1ccccc1,84206,6,1,0.8612,77.106,0.0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[6*]C(=O)O,58704,3,1,0.2137,45.017,37.3,1,1,0,0.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[8*]C(C)C,56973,3,1,1.3639999999999999,43.089,0.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[5*]N(C)C,42237,3,1,0.012299999999999978,44.077,3.24,0,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[16*]c1ccc([16*])cc1,41211,6,2,0.035800000000000054,76.098,0.0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[15*]C1CC1,39180,3,1,1.1179999999999999,41.073,0.0,0,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[4*]C(C)(C)C,35720,4,1,1.7541,57.116,0.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[4*]C(C)C,34787,3,1,1.3639999999999999,43.089,0.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[1*]C(C)=O,28617,3,1,0.0822,43.045,17.07,0,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[8*]C(C)(C)C,25831,4,1,1.7541,57.116,0.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[16*]c1ccc(C)cc1,25096,7,1,1.1696199999999999,91.13299999999998,0.0,0,0,0,0.14285714285714285,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[8*]C(F)(F)F,23889,4,1,1.0554999999999999,69.00500000000001,0.0,0,0,0,1.0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
[16*]c1ccccc1[16*],22279,6,2,0.03579999999999994,76.098,0.0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[16*]c1cccc([16*])c1,22066,6,2,0.03579999999999994,76.098,0.0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[16*]c1ccccc1C,18668,7,1,1.1696199999999999,91.133,0.0,0,0,0,0.14285714285714285,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
