gene_symbol,protein_name,uniprot_id,organism,target_type,description,function_summary,disease_keywords,chembl_target_id,aliases,pathway,known_drugs,representative_ligands,external_links
PDE10A,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",Q9Y233,Homo sapiens,Phosphodiesterase,"Plays a role in signal transduction by regulating the intracellular concentration of cyclic nucleotides (PubMed:10373451, PubMed:10393245, PubMed:16330539, PubMed:17389385, PubMed:27058447). Can hydrolyze both cAMP and cGMP, but has higher affinity for cAMP and is more efficient with cAMP as substrate (PubMed:10373451, PubMed:10393245, PubMed:17389385, PubMed:27058447). May play a critical role in regulating cAMP and cGMP levels in the striatum, a region of the brain that contributes to the control of movement and cognition (PubMed:27058447)","Plays a role in signal transduction by regulating the intracellular concentration of cyclic nucleotides (PubMed:10373451, PubMed:10393245, PubMed:16330539, PubMed:17389385, PubMed:27058447). Can hydrolyze both cAMP and cGMP, but has higher affinity for cAMP and is more efficient with cAMP as substrate (PubMed:10373451, PubMed:10393245, PubMed:17389385, PubMed:27058447). May play a critical role in regulating cAMP and cGMP levels in the striatum, a region of the brain that contributes to the control of movement and cognition (PubMed:27058447)",schizophrenia;Huntington disease;neurological disease,,PDE10;PDE10A,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/Q9Y233/entry;RCSB Search|https://www.rcsb.org/search?request=Q9Y233
PDE11A,"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A",Q9HCR9,Homo sapiens,Phosphodiesterase,"Plays a role in signal transduction by regulating the intracellular concentration of cyclic nucleotides cAMP and cGMP (PubMed:10725373, PubMed:10906126, PubMed:11050148, PubMed:16330539). Catalyzes the hydrolysis of both cAMP and cGMP to 5'-AMP and 5'-GMP, respectively (PubMed:10725373, PubMed:10906126, PubMed:11050148)","Plays a role in signal transduction by regulating the intracellular concentration of cyclic nucleotides cAMP and cGMP (PubMed:10725373, PubMed:10906126, PubMed:11050148, PubMed:16330539). Catalyzes the hydrolysis of both cAMP and cGMP to 5'-AMP and 5'-GMP, respectively (PubMed:10725373, PubMed:10906126, PubMed:11050148)",adrenal disease;endocrine tumor;fertility,,PDE11;PDE11A,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/Q9HCR9/entry;RCSB Search|https://www.rcsb.org/search?request=Q9HCR9
PDE1A,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",P54750,Homo sapiens,Phosphodiesterase,"Calcium/calmodulin-dependent cyclic nucleotide phosphodiesterase with a dual specificity for the second messengers cGMP and cAMP, which are key regulators of many important physiological processes. Has a higher efficiency with cGMP compared to cAMP","Calcium/calmodulin-dependent cyclic nucleotide phosphodiesterase with a dual specificity for the second messengers cGMP and cAMP, which are key regulators of many important physiological processes. Has a higher efficiency with cGMP compared to cAMP",asthma;neurological disease;cardiovascular disease,,PDE1;PDE1A,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/P54750/entry;RCSB Search|https://www.rcsb.org/search?request=P54750
PDE1B,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",Q01064,Homo sapiens,Phosphodiesterase,"Cyclic nucleotide phosphodiesterase with a dual specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological processes (PubMed:15260978, PubMed:8855339, PubMed:9419816). Has a preference for cGMP as a substrate (PubMed:9419816)","Cyclic nucleotide phosphodiesterase with a dual specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological processes (PubMed:15260978, PubMed:8855339, PubMed:9419816). Has a preference for cGMP as a substrate (PubMed:9419816)",neurological disease;dopamine signaling,,PDE1B;PDE1B1,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/Q01064/entry;RCSB Search|https://www.rcsb.org/search?request=Q01064
PDE1C,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C",Q14123,Homo sapiens,Phosphodiesterase,"Calmodulin-dependent cyclic nucleotide phosphodiesterase with a dual specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological processes (PubMed:29860631, PubMed:8557689). Has a high affinity for both cAMP and cGMP (PubMed:8557689). Modulates the amplitude and duration of the cAMP signal in sensory cilia in response to odorant stimulation, hence contributing to the generation of action potentials. Regulates smooth muscle cell proliferation. Regulates the stability of growth factor receptors, including PDGFRB (Probable)","Calmodulin-dependent cyclic nucleotide phosphodiesterase with a dual specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological processes (PubMed:29860631, PubMed:8557689). Has a high affinity for both cAMP and cGMP (PubMed:8557689). Modulates the amplitude and duration of the cAMP signal in sensory cilia in response to odorant stimulation, hence contributing to the generation of action potentials. Regulates smooth muscle cell proliferation. Regulates the stability of growth factor receptors, including PDGFRB (Probable)",cardiovascular disease;asthma,,PDE1C;PDE1C1,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/Q14123/entry;RCSB Search|https://www.rcsb.org/search?request=Q14123
PDE2A,"cGMP-dependent 3',5'-cyclic phosphodiesterase",O00408,Homo sapiens,Phosphodiesterase,"cGMP-activated cyclic nucleotide phosphodiesterase with a dual-specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological processes (PubMed:15938621, PubMed:29392776, PubMed:9210593). Has a higher efficiency with cGMP compared to cAMP (PubMed:15938621). Plays a role in cell growth and migration (PubMed:24705027)","cGMP-activated cyclic nucleotide phosphodiesterase with a dual-specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological processes (PubMed:15938621, PubMed:29392776, PubMed:9210593). Has a higher efficiency with cGMP compared to cAMP (PubMed:15938621). Plays a role in cell growth and migration (PubMed:24705027)",cardiovascular disease;neurological disease,,PDE2;PDE2A,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/O00408/entry;RCSB Search|https://www.rcsb.org/search?request=O00408
PDE3A,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",Q14432,Homo sapiens,Phosphodiesterase,"Cyclic nucleotide phosphodiesterase with specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological processes (PubMed:1315035, PubMed:25961942, PubMed:8155697, PubMed:8695850). Also has activity toward cUMP (PubMed:27975297). Independently of its catalytic activity it is part of an E2/17beta-estradiol-induced pro-apoptotic signaling pathway. E2 stabilizes the PDE3A/SLFN12 complex in the cytosol, promoting the dephosphorylation of SLFN12 and activating its pro-apoptotic ribosomal RNA/rRNA ribonuclease activity. This apoptotic pathway might be relevant in tissues with high concentration of E2 and be for instance involved in placenta remodeling (PubMed:31420216, PubMed:34707099)","Cyclic nucleotide phosphodiesterase with specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological processes (PubMed:1315035, PubMed:25961942, PubMed:8155697, PubMed:8695850). Also has activity toward cUMP (PubMed:27975297). Independently of its catalytic activity it is part of an E2/17beta-estradiol-induced pro-apoptotic signaling pathway. E2 stabilizes the PDE3A/SLFN12 complex in the cytosol, promoting the dephosphorylation of SLFN12 and activating its pro-apoptotic ribosomal RNA/rRNA ribonuclease activity. This apoptotic pathway might be relevant in tissues with high concentration of E2 and be for instance involved in placenta remodeling (PubMed:31420216, PubMed:34707099)",heart failure;platelet aggregation;cardiovascular disease,,CGI-PDE;PDE3A,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/Q14432/entry;RCSB Search|https://www.rcsb.org/search?request=Q14432
PDE3B,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3B",Q13370,Homo sapiens,Phosphodiesterase,"Cyclic nucleotide phosphodiesterase with a dual-specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological process (PubMed:14592490, PubMed:21393242). Regulates angiogenesis by inhibiting the cAMP-dependent guanine nucleotide exchange factor RAPGEF3 and downstream phosphatidylinositol 3-kinase gamma-mediated signaling (PubMed:21393242). Controls cardiac contractility by reducing cAMP concentration in cardiocytes (By similarity)","Cyclic nucleotide phosphodiesterase with a dual-specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological process (PubMed:14592490, PubMed:21393242). Regulates angiogenesis by inhibiting the cAMP-dependent guanine nucleotide exchange factor RAPGEF3 and downstream phosphatidylinositol 3-kinase gamma-mediated signaling (PubMed:21393242). Controls cardiac contractility by reducing cAMP concentration in cardiocytes (By similarity)",diabetes;obesity;metabolic disease,,HcGIP1;PDE3B,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/Q13370/entry;RCSB Search|https://www.rcsb.org/search?request=Q13370
PDE4A,"3',5'-cyclic-AMP phosphodiesterase 4A",P27815,Homo sapiens,Phosphodiesterase,"Hydrolyzes the second messenger 3',5'-cyclic AMP (cAMP), which is a key regulator of many important physiological processes","Hydrolyzes the second messenger 3',5'-cyclic AMP (cAMP), which is a key regulator of many important physiological processes",COPD;asthma;inflammation,,DPDE2;PDE4A,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/P27815/entry;RCSB Search|https://www.rcsb.org/search?request=P27815
PDE4B,"3',5'-cyclic-AMP phosphodiesterase 4B",Q07343,Homo sapiens,Phosphodiesterase,"Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes (PubMed:15260978). May be involved in mediating central nervous system effects of therapeutic agents ranging from antidepressants to antiasthmatic and anti-inflammatory agents","Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes (PubMed:15260978). May be involved in mediating central nervous system effects of therapeutic agents ranging from antidepressants to antiasthmatic and anti-inflammatory agents",COPD;inflammation;depression,,DPDE4;PDE4B,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/Q07343/entry;RCSB Search|https://www.rcsb.org/search?request=Q07343
